time,streamflow (m3 s-1),reference_time
2023-08-14 13:00:00+00:00,6.549999853596091,2023-08-14 12:00:00
2023-08-14 14:00:00+00:00,6.5199998542666435,2023-08-14 12:00:00
2023-08-14 15:00:00+00:00,6.409999856725335,2023-08-14 12:00:00
2023-08-14 16:00:00+00:00,6.139999862760305,2023-08-14 12:00:00
2023-08-14 17:00:00+00:00,5.639999873936176,2023-08-14 12:00:00
2023-08-14 18:00:00+00:00,4.999999888241291,2023-08-14 12:00:00
2023-08-14 19:00:00+00:00,4.52999989874661,2023-08-14 12:00:00
2023-08-14 20:00:00+00:00,4.229999905452132,2023-08-14 12:00:00
2023-08-14 21:00:00+00:00,4.089999908581376,2023-08-14 12:00:00
2023-08-14 22:00:00+00:00,4.059999909251928,2023-08-14 12:00:00
2023-08-14 23:00:00+00:00,4.009999910369515,2023-08-14 12:00:00
2023-08-15 00:00:00+00:00,4.049999909475446,2023-08-14 12:00:00
2023-08-15 01:00:00+00:00,4.049999909475446,2023-08-14 12:00:00
2023-08-15 02:00:00+00:00,4.0799999088048935,2023-08-14 12:00:00
2023-08-15 03:00:00+00:00,4.159999907016754,2023-08-14 12:00:00
2023-08-15 04:00:00+00:00,4.289999904111028,2023-08-14 12:00:00
2023-08-15 05:00:00+00:00,4.469999900087714,2023-08-14 12:00:00
2023-08-15 06:00:00+00:00,4.8699998911470175,2023-08-14 12:00:00
2023-08-15 07:00:00+00:00,5.399999879300594,2023-08-14 12:00:00
2023-08-15 08:00:00+00:00,5.669999873265624,2023-08-14 12:00:00
2023-08-15 09:00:00+00:00,5.739999871701002,2023-08-14 12:00:00
2023-08-15 10:00:00+00:00,5.759999871253967,2023-08-14 12:00:00
2023-08-15 11:00:00+00:00,5.799999870359898,2023-08-14 12:00:00
2023-08-15 12:00:00+00:00,5.749999871477485,2023-08-14 12:00:00
2023-08-15 13:00:00+00:00,5.569999875500798,2023-08-14 12:00:00
2023-08-15 14:00:00+00:00,5.049999887123704,2023-08-14 12:00:00
2023-08-15 15:00:00+00:00,4.479999899864197,2023-08-14 12:00:00
2023-08-15 16:00:00+00:00,4.0799999088048935,2023-08-14 12:00:00
2023-08-15 17:00:00+00:00,3.8199999146163464,2023-08-14 12:00:00
2023-08-15 18:00:00+00:00,3.689999917522073,2023-08-14 12:00:00
2023-08-15 19:00:00+00:00,3.609999919310212,2023-08-14 12:00:00
2023-08-15 20:00:00+00:00,3.569999920204282,2023-08-14 12:00:00
2023-08-15 21:00:00+00:00,3.569999920204282,2023-08-14 12:00:00
2023-08-15 22:00:00+00:00,3.6199999190866947,2023-08-14 12:00:00
2023-08-15 23:00:00+00:00,3.67999991774559,2023-08-14 12:00:00
2023-08-16 00:00:00+00:00,3.709999917075038,2023-08-14 12:00:00
2023-08-16 01:00:00+00:00,3.7399999164044857,2023-08-14 12:00:00
2023-08-16 02:00:00+00:00,3.7499999161809683,2023-08-14 12:00:00
2023-08-16 03:00:00+00:00,3.729999916628003,2023-08-14 12:00:00
2023-08-16 04:00:00+00:00,3.709999917075038,2023-08-14 12:00:00
2023-08-16 05:00:00+00:00,3.729999916628003,2023-08-14 12:00:00
2023-08-16 06:00:00+00:00,3.8899999130517244,2023-08-14 12:00:00
2023-08-16 07:00:00+00:00,4.019999910145998,2023-08-14 12:00:00
2023-08-16 08:00:00+00:00,4.239999905228615,2023-08-14 12:00:00
2023-08-16 09:00:00+00:00,4.52999989874661,2023-08-14 12:00:00
2023-08-16 10:00:00+00:00,4.83999989181757,2023-08-14 12:00:00
2023-08-16 11:00:00+00:00,4.999999888241291,2023-08-14 12:00:00
2023-08-16 12:00:00+00:00,5.069999886676669,2023-08-14 12:00:00
2023-08-16 13:00:00+00:00,5.159999884665012,2023-08-14 12:00:00
2023-08-16 14:00:00+00:00,5.309999881312251,2023-08-14 12:00:00
2023-08-16 15:00:00+00:00,5.379999879747629,2023-08-14 12:00:00
2023-08-16 16:00:00+00:00,5.329999880865216,2023-08-14 12:00:00
2023-08-16 17:00:00+00:00,5.22999988310039,2023-08-14 12:00:00
2023-08-16 18:00:00+00:00,5.119999885559082,2023-08-14 12:00:00
2023-08-16 19:00:00+00:00,5.089999886229634,2023-08-14 12:00:00
2023-08-16 20:00:00+00:00,5.029999887570739,2023-08-14 12:00:00
2023-08-16 21:00:00+00:00,4.9899998884648085,2023-08-14 12:00:00
2023-08-16 22:00:00+00:00,4.83999989181757,2023-08-14 12:00:00
2023-08-16 23:00:00+00:00,4.649999896064401,2023-08-14 12:00:00
2023-08-17 00:00:00+00:00,4.579999897629023,2023-08-14 12:00:00
2023-08-17 01:00:00+00:00,4.649999896064401,2023-08-14 12:00:00
2023-08-17 02:00:00+00:00,4.719999894499779,2023-08-14 12:00:00
2023-08-17 03:00:00+00:00,4.759999893605709,2023-08-14 12:00:00
2023-08-17 04:00:00+00:00,4.739999894052744,2023-08-14 12:00:00
2023-08-17 05:00:00+00:00,4.649999896064401,2023-08-14 12:00:00
2023-08-17 06:00:00+00:00,4.589999897405505,2023-08-14 12:00:00
2023-08-17 07:00:00+00:00,4.559999898076057,2023-08-14 12:00:00
2023-08-17 08:00:00+00:00,4.499999899417162,2023-08-14 12:00:00
2023-08-17 09:00:00+00:00,4.4399999007582664,2023-08-14 12:00:00
2023-08-17 10:00:00+00:00,4.409999901428819,2023-08-14 12:00:00
2023-08-17 11:00:00+00:00,4.369999902322888,2023-08-14 12:00:00
2023-08-17 12:00:00+00:00,4.349999902769923,2023-08-14 12:00:00
2023-08-17 13:00:00+00:00,4.329999903216958,2023-08-14 12:00:00
2023-08-17 14:00:00+00:00,4.21999990567565,2023-08-14 12:00:00
2023-08-17 15:00:00+00:00,3.8899999130517244,2023-08-14 12:00:00
2023-08-17 16:00:00+00:00,3.519999921321869,2023-08-14 12:00:00
2023-08-17 17:00:00+00:00,3.229999927803874,2023-08-14 12:00:00
2023-08-17 18:00:00+00:00,3.0499999318271875,2023-08-14 12:00:00
2023-08-17 19:00:00+00:00,2.9499999340623617,2023-08-14 12:00:00
2023-08-17 20:00:00+00:00,2.919999934732914,2023-08-14 12:00:00
2023-08-17 21:00:00+00:00,2.8899999354034662,2023-08-14 12:00:00
2023-08-17 22:00:00+00:00,2.8599999360740185,2023-08-14 12:00:00
2023-08-17 23:00:00+00:00,2.899999935179949,2023-08-14 12:00:00
2023-08-18 00:00:00+00:00,2.9299999345093966,2023-08-14 12:00:00
2023-08-18 01:00:00+00:00,3.0299999322742224,2023-08-14 12:00:00
2023-08-18 02:00:00+00:00,3.0699999313801527,2023-08-14 12:00:00
2023-08-18 03:00:00+00:00,3.0999999307096004,2023-08-14 12:00:00
2023-08-18 04:00:00+00:00,3.1499999295920134,2023-08-14 12:00:00
2023-08-18 05:00:00+00:00,3.109999930486083,2023-08-14 12:00:00
2023-08-18 06:00:00+00:00,3.1399999298155308,2023-08-14 12:00:00
2023-08-18 07:00:00+00:00,3.2699999269098043,2023-08-14 12:00:00
2023-08-18 08:00:00+00:00,3.449999922886491,2023-08-14 12:00:00
2023-08-18 09:00:00+00:00,3.63999991863966,2023-08-14 12:00:00
2023-08-18 10:00:00+00:00,3.8199999146163464,2023-08-14 12:00:00
2023-08-18 11:00:00+00:00,4.129999907687306,2023-08-14 12:00:00
2023-08-18 12:00:00+00:00,4.369999902322888,2023-08-14 12:00:00
2023-08-18 13:00:00+00:00,4.56999989785254,2023-08-14 12:00:00
2023-08-18 14:00:00+00:00,4.7499998938292265,2023-08-14 12:00:00
2023-08-18 15:00:00+00:00,4.91999989002943,2023-08-14 12:00:00
2023-08-18 16:00:00+00:00,5.079999886453152,2023-08-14 12:00:00
2023-08-18 17:00:00+00:00,5.14999988488853,2023-08-14 12:00:00
2023-08-18 18:00:00+00:00,5.089999886229634,2023-08-14 12:00:00
2023-08-18 19:00:00+00:00,4.999999888241291,2023-08-14 12:00:00
2023-08-18 20:00:00+00:00,4.9399998895823956,2023-08-14 12:00:00
2023-08-18 21:00:00+00:00,4.8799998909235,2023-08-14 12:00:00
2023-08-18 22:00:00+00:00,4.809999892488122,2023-08-14 12:00:00
2023-08-18 23:00:00+00:00,4.669999895617366,2023-08-14 12:00:00
2023-08-19 00:00:00+00:00,4.60999989695847,2023-08-14 12:00:00
2023-08-19 01:00:00+00:00,4.579999897629023,2023-08-14 12:00:00
2023-08-19 02:00:00+00:00,4.559999898076057,2023-08-14 12:00:00
2023-08-19 03:00:00+00:00,4.519999898970127,2023-08-14 12:00:00
2023-08-19 04:00:00+00:00,4.469999900087714,2023-08-14 12:00:00
2023-08-19 05:00:00+00:00,4.409999901428819,2023-08-14 12:00:00
2023-08-19 06:00:00+00:00,4.349999902769923,2023-08-14 12:00:00
2023-08-19 07:00:00+00:00,4.3199999034404755,2023-08-14 12:00:00
2023-08-19 08:00:00+00:00,4.339999902993441,2023-08-14 12:00:00
2023-08-19 09:00:00+00:00,4.359999902546406,2023-08-14 12:00:00
2023-08-19 10:00:00+00:00,4.329999903216958,2023-08-14 12:00:00
2023-08-19 11:00:00+00:00,4.339999902993441,2023-08-14 12:00:00
2023-08-19 12:00:00+00:00,4.339999902993441,2023-08-14 12:00:00
2023-08-19 13:00:00+00:00,4.159999907016754,2023-08-14 12:00:00
2023-08-19 14:00:00+00:00,3.759999915957451,2023-08-14 12:00:00
2023-08-19 15:00:00+00:00,3.3399999253451824,2023-08-14 12:00:00
2023-08-19 16:00:00+00:00,2.9499999340623617,2023-08-14 12:00:00
2023-08-19 17:00:00+00:00,2.679999940097332,2023-08-14 12:00:00
2023-08-19 18:00:00+00:00,2.559999942779541,2023-08-14 12:00:00
2023-08-19 19:00:00+00:00,2.5999999418854713,2023-08-14 12:00:00
2023-08-19 20:00:00+00:00,2.579999942332506,2023-08-14 12:00:00
2023-08-19 21:00:00+00:00,2.509999943897128,2023-08-14 12:00:00
2023-08-19 22:00:00+00:00,2.489999944344163,2023-08-14 12:00:00
2023-08-19 23:00:00+00:00,2.609999941661954,2023-08-14 12:00:00
2023-08-20 00:00:00+00:00,2.6499999407678843,2023-08-14 12:00:00
2023-08-20 01:00:00+00:00,2.629999941214919,2023-08-14 12:00:00
2023-08-20 02:00:00+00:00,2.7199999392032623,2023-08-14 12:00:00
2023-08-20 03:00:00+00:00,2.7199999392032623,2023-08-14 12:00:00
2023-08-20 04:00:00+00:00,2.6499999407678843,2023-08-14 12:00:00
2023-08-20 05:00:00+00:00,2.6399999409914017,2023-08-14 12:00:00
2023-08-20 06:00:00+00:00,2.74999993853271,2023-08-14 12:00:00
2023-08-20 07:00:00+00:00,2.7699999380856752,2023-08-14 12:00:00
2023-08-20 08:00:00+00:00,2.7199999392032623,2023-08-14 12:00:00
2023-08-20 09:00:00+00:00,2.7199999392032623,2023-08-14 12:00:00
2023-08-20 10:00:00+00:00,2.74999993853271,2023-08-14 12:00:00
2023-08-20 11:00:00+00:00,2.7899999376386404,2023-08-14 12:00:00
2023-08-20 12:00:00+00:00,2.819999936968088,2023-08-14 12:00:00
2023-08-20 13:00:00+00:00,2.8099999371916056,2023-08-14 12:00:00
2023-08-20 14:00:00+00:00,2.7599999383091927,2023-08-14 12:00:00
2023-08-20 15:00:00+00:00,2.6899999398738146,2023-08-14 12:00:00
2023-08-20 16:00:00+00:00,2.629999941214919,2023-08-14 12:00:00
2023-08-20 17:00:00+00:00,2.6199999414384365,2023-08-14 12:00:00
2023-08-20 18:00:00+00:00,2.609999941661954,2023-08-14 12:00:00
2023-08-20 19:00:00+00:00,2.579999942332506,2023-08-14 12:00:00
2023-08-20 20:00:00+00:00,2.5699999425560236,2023-08-14 12:00:00
2023-08-20 21:00:00+00:00,2.5499999430030584,2023-08-14 12:00:00
