time,streamflow (m3 s-1),reference_time
2024-07-09 13:00:00+00:00,2.0399999544024467,2024-07-09 12:00:00
2024-07-09 14:00:00+00:00,1.9499999564141035,2024-07-09 12:00:00
2024-07-09 15:00:00+00:00,1.889999957755208,2024-07-09 12:00:00
2024-07-09 16:00:00+00:00,1.7999999597668648,2024-07-09 12:00:00
2024-07-09 17:00:00+00:00,1.7299999613314867,2024-07-09 12:00:00
2024-07-09 18:00:00+00:00,1.6399999633431435,2024-07-09 12:00:00
2024-07-09 19:00:00+00:00,1.6299999635666609,2024-07-09 12:00:00
2024-07-09 20:00:00+00:00,1.5599999651312828,2024-07-09 12:00:00
2024-07-09 21:00:00+00:00,1.4999999664723873,2024-07-09 12:00:00
2024-07-09 22:00:00+00:00,1.4199999682605267,2024-07-09 12:00:00
2024-07-09 23:00:00+00:00,1.409999968484044,2024-07-09 12:00:00
2024-07-10 00:00:00+00:00,1.3999999687075615,2024-07-09 12:00:00
2024-07-10 01:00:00+00:00,1.4299999680370092,2024-07-09 12:00:00
2024-07-10 02:00:00+00:00,1.4299999680370092,2024-07-09 12:00:00
2024-07-10 03:00:00+00:00,1.4199999682605267,2024-07-09 12:00:00
2024-07-10 04:00:00+00:00,1.409999968484044,2024-07-09 12:00:00
2024-07-10 05:00:00+00:00,1.4199999682605267,2024-07-09 12:00:00
2024-07-10 06:00:00+00:00,1.4799999669194221,2024-07-09 12:00:00
2024-07-10 07:00:00+00:00,1.4999999664723873,2024-07-09 12:00:00
2024-07-10 08:00:00+00:00,1.4999999664723873,2024-07-09 12:00:00
2024-07-10 09:00:00+00:00,1.5699999649077654,2024-07-09 12:00:00
2024-07-10 10:00:00+00:00,1.6699999626725912,2024-07-09 12:00:00
2024-07-10 11:00:00+00:00,1.6699999626725912,2024-07-09 12:00:00
2024-07-10 12:00:00+00:00,1.6199999637901783,2024-07-09 12:00:00
2024-07-10 13:00:00+00:00,1.5899999644607306,2024-07-09 12:00:00
2024-07-10 14:00:00+00:00,1.5899999644607306,2024-07-09 12:00:00
2024-07-10 15:00:00+00:00,1.5599999651312828,2024-07-09 12:00:00
2024-07-10 16:00:00+00:00,1.5499999653548002,2024-07-09 12:00:00
2024-07-10 17:00:00+00:00,1.6399999633431435,2024-07-09 12:00:00
2024-07-10 18:00:00+00:00,1.889999957755208,2024-07-09 12:00:00
2024-07-10 19:00:00+00:00,2.009999955072999,2024-07-09 12:00:00
2024-07-10 20:00:00+00:00,2.109999952837825,2024-07-09 12:00:00
2024-07-10 21:00:00+00:00,2.0899999532848597,2024-07-09 12:00:00
2024-07-10 22:00:00+00:00,2.0699999537318945,2024-07-09 12:00:00
2024-07-10 23:00:00+00:00,2.059999953955412,2024-07-09 12:00:00
2024-07-11 00:00:00+00:00,2.2099999506026506,2024-07-09 12:00:00
2024-07-11 01:00:00+00:00,2.349999947473407,2024-07-09 12:00:00
2024-07-11 02:00:00+00:00,2.4499999452382326,2024-07-09 12:00:00
2024-07-11 03:00:00+00:00,3.2399999275803566,2024-07-09 12:00:00
2024-07-11 04:00:00+00:00,5.439999878406525,2024-07-09 12:00:00
2024-07-11 05:00:00+00:00,7.829999824985862,2024-07-09 12:00:00
2024-07-11 06:00:00+00:00,9.999999776482582,2024-07-09 12:00:00
2024-07-11 07:00:00+00:00,11.61999974027276,2024-07-09 12:00:00
2024-07-11 08:00:00+00:00,12.369999723508954,2024-07-09 12:00:00
2024-07-11 09:00:00+00:00,11.909999733790755,2024-07-09 12:00:00
2024-07-11 10:00:00+00:00,11.009999753907323,2024-07-09 12:00:00
2024-07-11 11:00:00+00:00,10.209999771788716,2024-07-09 12:00:00
2024-07-11 12:00:00+00:00,8.989999799057841,2024-07-09 12:00:00
2024-07-11 13:00:00+00:00,7.35999983549118,2024-07-09 12:00:00
2024-07-11 14:00:00+00:00,6.469999855384231,2024-07-09 12:00:00
2024-07-11 15:00:00+00:00,6.5199998542666435,2024-07-09 12:00:00
2024-07-11 16:00:00+00:00,7.58999983035028,2024-07-09 12:00:00
2024-07-11 17:00:00+00:00,9.629999784752727,2024-07-09 12:00:00
2024-07-11 18:00:00+00:00,11.399999745190144,2024-07-09 12:00:00
