time,streamflow (m3 s-1),reference_time
2024-05-03 13:00:00+00:00,6.599999852478504,2024-05-03 12:00:00
2024-05-03 14:00:00+00:00,6.38999985717237,2024-05-03 12:00:00
2024-05-03 15:00:00+00:00,6.07999986410141,2024-05-03 12:00:00
2024-05-03 16:00:00+00:00,5.689999872818589,2024-05-03 12:00:00
2024-05-03 17:00:00+00:00,5.199999883770943,2024-05-03 12:00:00
2024-05-03 18:00:00+00:00,4.859999891370535,2024-05-03 12:00:00
2024-05-03 19:00:00+00:00,4.559999898076057,2024-05-03 12:00:00
2024-05-03 20:00:00+00:00,4.3199999034404755,2024-05-03 12:00:00
2024-05-03 21:00:00+00:00,4.279999904334545,2024-05-03 12:00:00
2024-05-03 22:00:00+00:00,4.169999906793237,2024-05-03 12:00:00
2024-05-03 23:00:00+00:00,4.139999907463789,2024-05-03 12:00:00
2024-05-04 00:00:00+00:00,3.969999911263585,2024-05-03 12:00:00
2024-05-04 01:00:00+00:00,3.849999913945794,2024-05-03 12:00:00
2024-05-04 02:00:00+00:00,3.7199999168515205,2024-05-03 12:00:00
2024-05-04 03:00:00+00:00,3.7899999152868986,2024-05-03 12:00:00
2024-05-04 04:00:00+00:00,3.7199999168515205,2024-05-03 12:00:00
2024-05-04 05:00:00+00:00,3.729999916628003,2024-05-03 12:00:00
2024-05-04 06:00:00+00:00,3.729999916628003,2024-05-03 12:00:00
2024-05-04 07:00:00+00:00,3.829999914392829,2024-05-03 12:00:00
2024-05-04 08:00:00+00:00,3.829999914392829,2024-05-03 12:00:00
2024-05-04 09:00:00+00:00,3.7899999152868986,2024-05-03 12:00:00
2024-05-04 10:00:00+00:00,3.7199999168515205,2024-05-03 12:00:00
2024-05-04 11:00:00+00:00,3.67999991774559,2024-05-03 12:00:00
2024-05-04 12:00:00+00:00,3.63999991863966,2024-05-03 12:00:00
2024-05-04 13:00:00+00:00,3.6699999179691076,2024-05-03 12:00:00
2024-05-04 14:00:00+00:00,3.63999991863966,2024-05-03 12:00:00
2024-05-04 15:00:00+00:00,3.589999919757247,2024-05-03 12:00:00
2024-05-04 16:00:00+00:00,3.5799999199807644,2024-05-03 12:00:00
2024-05-04 17:00:00+00:00,3.6299999188631773,2024-05-03 12:00:00
2024-05-04 18:00:00+00:00,3.589999919757247,2024-05-03 12:00:00
2024-05-04 19:00:00+00:00,3.4799999222159386,2024-05-03 12:00:00
2024-05-04 20:00:00+00:00,3.4299999233335257,2024-05-03 12:00:00
2024-05-04 21:00:00+00:00,3.3799999244511127,2024-05-03 12:00:00
2024-05-04 22:00:00+00:00,3.2599999271333218,2024-05-03 12:00:00
2024-05-04 23:00:00+00:00,3.209999928250909,2024-05-03 12:00:00
2024-05-05 00:00:00+00:00,3.209999928250909,2024-05-03 12:00:00
2024-05-05 01:00:00+00:00,3.3099999260157347,2024-05-03 12:00:00
2024-05-05 02:00:00+00:00,3.299999926239252,2024-05-03 12:00:00
2024-05-05 03:00:00+00:00,3.3399999253451824,2024-05-03 12:00:00
2024-05-05 04:00:00+00:00,3.3099999260157347,2024-05-03 12:00:00
2024-05-05 05:00:00+00:00,3.299999926239252,2024-05-03 12:00:00
2024-05-05 06:00:00+00:00,3.1999999284744263,2024-05-03 12:00:00
2024-05-05 07:00:00+00:00,3.229999927803874,2024-05-03 12:00:00
2024-05-05 08:00:00+00:00,3.1499999295920134,2024-05-03 12:00:00
2024-05-05 09:00:00+00:00,3.179999928921461,2024-05-03 12:00:00
2024-05-05 10:00:00+00:00,3.1699999291449785,2024-05-03 12:00:00
2024-05-05 11:00:00+00:00,3.1899999286979437,2024-05-03 12:00:00
2024-05-05 12:00:00+00:00,3.0699999313801527,2024-05-03 12:00:00
2024-05-05 13:00:00+00:00,3.129999930039048,2024-05-03 12:00:00
2024-05-05 14:00:00+00:00,3.2899999264627695,2024-05-03 12:00:00
2024-05-05 15:00:00+00:00,3.3399999253451824,2024-05-03 12:00:00
2024-05-05 16:00:00+00:00,3.539999920874834,2024-05-03 12:00:00
2024-05-05 17:00:00+00:00,3.759999915957451,2024-05-03 12:00:00
2024-05-05 18:00:00+00:00,4.129999907687306,2024-05-03 12:00:00
2024-05-05 19:00:00+00:00,4.4399999007582664,2024-05-03 12:00:00
2024-05-05 20:00:00+00:00,5.009999888017774,2024-05-03 12:00:00
2024-05-05 21:00:00+00:00,5.679999873042107,2024-05-03 12:00:00
2024-05-05 22:00:00+00:00,6.249999860301614,2024-05-03 12:00:00
2024-05-05 23:00:00+00:00,7.039999842643738,2024-05-03 12:00:00
2024-05-06 00:00:00+00:00,7.159999839961529,2024-05-03 12:00:00
2024-05-06 01:00:00+00:00,6.529999854043126,2024-05-03 12:00:00
