time,nwm_predicted,reference_time,usgs_observed
2024-07-07 00:00:00+00:00,2.0199999548494816,2024-07-04 12:00:00,5.380200852480001
2024-07-07 01:00:00+00:00,2.059999953955412,2024-07-04 12:00:00,5.210299772928001
2024-07-07 02:00:00+00:00,2.139999952167273,2024-07-04 12:00:00,4.941289730304001
2024-07-07 03:00:00+00:00,2.1199999526143074,2024-07-04 12:00:00,5.0120818467840005
2024-07-07 04:00:00+00:00,2.139999952167273,2024-07-04 12:00:00,5.238616619520001
2024-07-07 05:00:00+00:00,2.12999995239079,2024-07-04 12:00:00,4.983765000192001
2024-07-07 06:00:00+00:00,2.149999951943755,2024-07-04 12:00:00,4.743071804160001
2024-07-07 07:00:00+00:00,2.149999951943755,2024-07-04 12:00:00,4.615645994496001
2024-07-07 08:00:00+00:00,2.219999950379133,2024-07-04 12:00:00,4.629804417792
2024-07-07 09:00:00+00:00,2.2399999499320984,2024-07-04 12:00:00,4.728913380864
2024-07-07 10:00:00+00:00,2.3299999479204416,2024-07-04 12:00:00,4.615645994496001
2024-07-07 11:00:00+00:00,2.319999948143959,2024-07-04 12:00:00,4.516537031424001
2024-07-07 12:00:00+00:00,2.339999947696924,2024-07-04 12:00:00,4.382032010112001
2024-07-07 13:00:00+00:00,2.4099999461323023,2024-07-04 12:00:00,4.3183191052800005
2024-07-07 14:00:00+00:00,2.43999994546175,2024-07-04 12:00:00,4.176734872320001
2024-07-07 15:00:00+00:00,2.369999947026372,2024-07-04 12:00:00,4.091784332544001
2024-07-07 16:00:00+00:00,2.349999947473407,2024-07-04 12:00:00,3.9855961578240007
2024-07-07 17:00:00+00:00,2.199999950826168,2024-07-04 12:00:00,3.8935664064000006
2024-07-07 18:00:00+00:00,2.029999954625964,2024-07-04 12:00:00,3.766140596736
2024-07-07 19:00:00+00:00,1.8599999584257605,2024-07-04 12:00:00,3.695348480256
2024-07-07 20:00:00+00:00,1.7899999599903822,2024-07-04 12:00:00,3.6387147870720007
2024-07-07 21:00:00+00:00,1.7799999602138996,2024-07-04 12:00:00,3.539605824000001
2024-07-07 22:00:00+00:00,1.8599999584257605,2024-07-04 12:00:00,3.4404968609280004
2024-07-07 23:00:00+00:00,1.8799999579787252,2024-07-04 12:00:00,3.3413878978560003
2024-07-08 00:00:00+00:00,1.9099999573081727,2024-07-04 12:00:00,3.2281205114880005
2024-07-08 01:00:00+00:00,1.919999957084656,2024-07-04 12:00:00,3.129011548416001
2024-07-08 02:00:00+00:00,1.9899999555200336,2024-07-04 12:00:00,3.0511402202880005
2024-07-08 03:00:00+00:00,2.0399999544024467,2024-07-04 12:00:00,2.9874273154560003
2024-07-08 04:00:00+00:00,2.0399999544024467,2024-07-04 12:00:00,2.9095559873280004
2024-07-08 05:00:00+00:00,1.959999956190586,2024-07-04 12:00:00,2.8600015057920003
2024-07-08 06:00:00+00:00,1.939999956637621,2024-07-04 12:00:00,2.798412364454401
2024-07-08 07:00:00+00:00,1.9099999573081727,2024-07-04 12:00:00,2.777174729510401
2024-07-08 08:00:00+00:00,1.889999957755208,2024-07-04 12:00:00,2.7665559120384007
2024-07-08 09:00:00+00:00,1.839999958872795,2024-07-04 12:00:00,2.755229173401601
2024-07-08 10:00:00+00:00,1.839999958872795,2024-07-04 12:00:00,2.755229173401601
2024-07-08 11:00:00+00:00,1.7999999597668648,2024-07-04 12:00:00,2.755229173401601
2024-07-08 12:00:00+00:00,1.7899999599903822,2024-07-04 12:00:00,2.755229173401601
2024-07-08 13:00:00+00:00,1.769999960437417,2024-07-04 12:00:00,2.7212489574912
2024-07-08 14:00:00+00:00,1.7399999611079693,2024-07-04 12:00:00,2.7325756961280003
2024-07-08 15:00:00+00:00,1.649999963119626,2024-07-04 12:00:00,2.755229173401601
2024-07-08 16:00:00+00:00,1.6199999637901783,2024-07-04 12:00:00,2.7325756961280003
2024-07-08 17:00:00+00:00,1.579999964684248,2024-07-04 12:00:00,2.7325756961280003
2024-07-08 18:00:00+00:00,1.579999964684248,2024-07-04 12:00:00,2.7325756961280003
2024-07-08 19:00:00+00:00,1.5599999651312828,2024-07-04 12:00:00,2.7212489574912
2024-07-08 20:00:00+00:00,1.5599999651312828,2024-07-04 12:00:00,2.7000113225472004
2024-07-08 21:00:00+00:00,1.5599999651312828,2024-07-04 12:00:00,2.6362984177152
2024-07-08 22:00:00+00:00,1.5999999642372131,2024-07-04 12:00:00,2.6044419652992
2024-07-08 23:00:00+00:00,1.5999999642372131,2024-07-04 12:00:00,2.5010854752384004
2024-07-09 00:00:00+00:00,1.6399999633431437,2024-07-04 12:00:00,2.427461674099201
2024-07-09 01:00:00+00:00,1.6599999628961086,2024-07-04 12:00:00,2.3573774787840005
2024-07-09 02:00:00+00:00,1.699999962002039,2024-07-04 12:00:00,2.3078229972480004
2024-07-09 03:00:00+00:00,1.649999963119626,2024-07-04 12:00:00,2.2384467230976
2024-07-09 04:00:00+00:00,1.6399999633431437,2024-07-04 12:00:00,2.2087140341760003
2024-07-09 05:00:00+00:00,1.6699999626725912,2024-07-04 12:00:00,2.1888922415616
2024-07-09 06:00:00+00:00,1.699999962002039,2024-07-04 12:00:00,2.1690704489472004
2024-07-09 07:00:00+00:00,1.6399999633431437,2024-07-04 12:00:00,2.1492486563328006
2024-07-09 08:00:00+00:00,1.6199999637901783,2024-07-04 12:00:00,2.1591595526400003
